UA;EDAD;SEXO;NIV_EDUCATIVO;VOTO_CANDIDATO;VOTO_ACOTADO;JAMAS_VOTARIA;GESTION_CRISTINA;ECONOMIA_PAIS_2_AÑOS;ECONOMIA_FLIAR_2_AÑOS;CONTINUIDAD_O_CAMBIO;REPRESENTACION_DEL_CAMBIO;AGENDA_DE_TEMAS;PERCEPCION_DE_GANADOR;INFLUENCIA_DE_CRISTINA_EN_SCIOLI;POSICIONAMIENTO_ESPACIAL;POSICIONAMIENTO_RESPECTO_PERONISMO;POSICIONAMIENTO_RESPECTO_KIRCHNERISMO;VOTO_PASO;NE_BSAS
339;30-49;VARON;TERCIARIO NO UNIV. COMPLETO;DANIEL SCIOLI;DANIEL SCIOLI;MAURICIO MACRI;APRUEBA;MEJORÓ;MEJORÓ;MANTENER POLITICAS ACUTUALES;DANIEL SCIOLI;EDUCACION, ASISTENCIA SOCIAL, SALUD;DANIEL SCIOLI; ;NI DE IZQUIERDA NI DE DERECHA;NI PERONISTA NI ANTI PERONISTA;NI KIRCHNERISTA NI ANTI KIRCHNERISTA;DANIEL SCIOLI;TERC/UNIV. COMPLETO
340;50-65;MUJER;TERCIARIO NO UNIV. INCOMPLETO;DANIEL SCIOLI;DANIEL SCIOLI;NO SABE;APRUEBA;SE MANTUVO IGUAL / NO CAMBIO;EMPEORÓ;MANTENER ALGUNAS Y CAMBIAR OTRAS;DANIEL SCIOLI;EMPLEO;DANIEL SCIOLI;POCA;MAS IZQUIERDA QUE DERECHA;NI PERONISTA NI ANTI PERONISTA;NI KIRCHNERISTA NI ANTI KIRCHNERISTA;DANIEL SCIOLI;SEC. COMP-TERC. INC
341;50-65;MUJER;PRIMARIO COMPLETO;DANIEL SCIOLI;DANIEL SCIOLI;MAURICIO MACRI;APRUEBA;MEJORÓ;MEJORÓ;MANTENER POLITICAS ACUTUALES;DANIEL SCIOLI;EMPLEO;DANIEL SCIOLI;BASTANTE;NO SABE;PERONISTA;KIRCHNERISTA;DANIEL SCIOLI;P. COMPLETA
342;30-49;MUJER;SECUNDARIO INCOMPLETO O COMPLETO;MAURICIO MACRI;MAURICIO MACRI;DANIEL SCIOLI;DESAPRUEBA;EMPEORÓ;SE MANTUVO IGUAL / NO CAMBIO;MANTENER ALGUNAS Y CAMBIAR OTRAS;SERGIO MASSA;SEGURIDAD;SERGIO MASSA;BASTANTE;NI DE IZQUIERDA NI DE DERECHA;PERONISTA;ANTI KIRCHNERISTA;JOSE MANUEL DE LA SOTA;SEC. COMP-TERC. INC
343;50-65;MUJER;TERCIARIO NO UNIV. COMPLETO;DANIEL SCIOLI;DANIEL SCIOLI;MAURICIO MACRI;APRUEBA;MEJORÓ;MEJORÓ;MANTENER POLITICAS ACUTUALES;DANIEL SCIOLI;ECONOMIA;DANIEL SCIOLI;BASTANTE;NO SABE;NI PERONISTA NI ANTI PERONISTA;KIRCHNERISTA;DANIEL SCIOLI;TERC/UNIV. COMPLETO
344;18-29;VARON;SECUNDARIO INCOMPLETO O COMPLETO;NINGUNO / EN BLANCO;NINGUNO / EN BLANCO;MAURICIO MACRI;DESAPRUEBA;EMPEORÓ;EMPEORÓ;CAMBIAR TODAS;NINGUNO;EMPLEO;NO SABE;NO SABE;NI DE IZQUIERDA NI DE DERECHA;NI PERONISTA NI ANTI PERONISTA;NI KIRCHNERISTA NI ANTI KIRCHNERISTA;BLANCO / NO VOTO;SEC. COMP-TERC. INC
345;>65;VARON;PRIMARIO COMPLETO;SERGIO MASSA;SERGIO MASSA;DANIEL SCIOLI;DESAPRUEBA;EMPEORÓ;EMPEORÓ;CAMBIAR TODAS;SERGIO MASSA;EDUCACION, ASISTENCIA SOCIAL, SALUD;SERGIO MASSA;BASTANTE;MAS DE DERECHA QUE DE IZQUIERDA;PERONISTA;NI KIRCHNERISTA NI ANTI KIRCHNERISTA;SERGIO MASSA;P. COMPLETA
346;50-65;MUJER;SECUNDARIO INCOMPLETO O COMPLETO;MARGARITA STOLBIZER;MAURICIO MACRI;DANIEL SCIOLI;DESAPRUEBA;EMPEORÓ;SE MANTUVO IGUAL / NO CAMBIO;MANTENER ALGUNAS Y CAMBIAR OTRAS;NINGUNO;RESPETO DE INSTITUCIONES;NO SABE;BASTANTE;MAS IZQUIERDA QUE DERECHA;NI PERONISTA NI ANTI PERONISTA;ANTI KIRCHNERISTA;MARGARITA STOLBIZER;SEC. COMP-TERC. INC
347;>65;MUJER;PRIMARIO COMPLETO;MAURICIO MACRI;SERGIO MASSA;MAURICIO MACRI;APRUEBA;MEJORÓ;MEJORÓ;MANTENER ALGUNAS Y CAMBIAR OTRAS;SERGIO MASSA;SEGURIDAD;SERGIO MASSA;NO SABE;NI DE IZQUIERDA NI DE DERECHA;PERONISTA;NO SABE;SERGIO MASSA;P. COMPLETA
348;50-65;MUJER;PRIMARIO COMPLETO;DANIEL SCIOLI;DANIEL SCIOLI;MAURICIO MACRI;APRUEBA;MEJORÓ;SE MANTUVO IGUAL / NO CAMBIO;MANTENER POLITICAS ACUTUALES;DANIEL SCIOLI;SEGURIDAD;DANIEL SCIOLI;POCA;NI DE IZQUIERDA NI DE DERECHA;NI PERONISTA NI ANTI PERONISTA;KIRCHNERISTA;DANIEL SCIOLI;P. COMPLETA
349;18-29;MUJER;SECUNDARIO INCOMPLETO O COMPLETO;MAURICIO MACRI;MAURICIO MACRI;DANIEL SCIOLI;DESAPRUEBA;EMPEORÓ;SE MANTUVO IGUAL / NO CAMBIO;MANTENER ALGUNAS Y CAMBIAR OTRAS;MAURICIO MACRI;SEGURIDAD;MAURICIO MACRI; ;NI DE IZQUIERDA NI DE DERECHA;NI PERONISTA NI ANTI PERONISTA;ANTI KIRCHNERISTA;MAURICIO MACRI;SEC. COMP-TERC. INC
350;30-49;VARON;PRIMARIO COMPLETO;MAURICIO MACRI;SERGIO MASSA;DANIEL SCIOLI;DESAPRUEBA;EMPEORÓ;MEJORÓ;CAMBIAR TODAS;SERGIO MASSA;SEGURIDAD;SERGIO MASSA;BASTANTE;NI DE IZQUIERDA NI DE DERECHA;NI PERONISTA NI ANTI PERONISTA;NI KIRCHNERISTA NI ANTI KIRCHNERISTA;SERGIO MASSA;P. COMPLETA
351;18-29;VARON;UNIVERSITARIO INCOMPLETO O COMPLETO;SERGIO MASSA;DANIEL SCIOLI;MAURICIO MACRI;APRUEBA;SE MANTUVO IGUAL / NO CAMBIO;SE MANTUVO IGUAL / NO CAMBIO;MANTENER ALGUNAS Y CAMBIAR OTRAS;SERGIO MASSA;SEGURIDAD;SERGIO MASSA;NO SABE;MAS DE DERECHA QUE DE IZQUIERDA;PERONISTA;KIRCHNERISTA;DANIEL SCIOLI;TERC/UNIV. COMPLETO
352;50-65;VARON;SECUNDARIO INCOMPLETO O COMPLETO;DANIEL SCIOLI;DANIEL SCIOLI;MAURICIO MACRI;APRUEBA;SE MANTUVO IGUAL / NO CAMBIO;SE MANTUVO IGUAL / NO CAMBIO;MANTENER ALGUNAS Y CAMBIAR OTRAS;MAURICIO MACRI;EDUCACION, ASISTENCIA SOCIAL, SALUD;DANIEL SCIOLI;BASTANTE;MAS IZQUIERDA QUE DERECHA;PERONISTA;KIRCHNERISTA;DANIEL SCIOLI;SEC. COMP-TERC. INC
353;30-49;VARON;UNIVERSITARIO INCOMPLETO O COMPLETO;DANIEL SCIOLI;DANIEL SCIOLI;MAURICIO MACRI;DESAPRUEBA;SE MANTUVO IGUAL / NO CAMBIO;SE MANTUVO IGUAL / NO CAMBIO;MANTENER ALGUNAS Y CAMBIAR OTRAS;DANIEL SCIOLI;EDUCACION, ASISTENCIA SOCIAL, SALUD;DANIEL SCIOLI;POCA;NI DE IZQUIERDA NI DE DERECHA;NI PERONISTA NI ANTI PERONISTA;NI KIRCHNERISTA NI ANTI KIRCHNERISTA;DANIEL SCIOLI;TERC/UNIV. COMPLETO
354;50-65;MUJER;UNIVERSITARIO INCOMPLETO O COMPLETO;DANIEL SCIOLI;DANIEL SCIOLI;MAURICIO MACRI;APRUEBA;MEJORÓ;MEJORÓ;MANTENER POLITICAS ACUTUALES;DANIEL SCIOLI;EDUCACION, ASISTENCIA SOCIAL, SALUD;DANIEL SCIOLI;POCA;MAS IZQUIERDA QUE DERECHA;PERONISTA;KIRCHNERISTA;DANIEL SCIOLI;TERC/UNIV. COMPLETO
355;50-65;VARON;PRIMARIO COMPLETO;SERGIO MASSA;SERGIO MASSA;DANIEL SCIOLI;DESAPRUEBA;EMPEORÓ;EMPEORÓ;CAMBIAR TODAS;SERGIO MASSA;RESPETO DE INSTITUCIONES;SERGIO MASSA;POCA;NI DE IZQUIERDA NI DE DERECHA;NI PERONISTA NI ANTI PERONISTA;NI KIRCHNERISTA NI ANTI KIRCHNERISTA;SERGIO MASSA;P. COMPLETA
356;30-49;MUJER;SECUNDARIO INCOMPLETO O COMPLETO;NINGUNO / EN BLANCO;NINGUNO / EN BLANCO;MAURICIO MACRI;NO SABE;MEJORÓ;SE MANTUVO IGUAL / NO CAMBIO;MANTENER ALGUNAS Y CAMBIAR OTRAS;NINGUNO;EDUCACION, ASISTENCIA SOCIAL, SALUD;DANIEL SCIOLI;BASTANTE;NI DE IZQUIERDA NI DE DERECHA;NI PERONISTA NI ANTI PERONISTA;NI KIRCHNERISTA NI ANTI KIRCHNERISTA;OTROS;SEC. COMP-TERC. INC
357;50-65;VARON;SECUNDARIO INCOMPLETO O COMPLETO;DANIEL SCIOLI;DANIEL SCIOLI;MAURICIO MACRI;APRUEBA;MEJORÓ;MEJORÓ;MANTENER ALGUNAS Y CAMBIAR OTRAS;DANIEL SCIOLI;ECONOMIA;DANIEL SCIOLI;POCA;NI DE IZQUIERDA NI DE DERECHA;NI PERONISTA NI ANTI PERONISTA;NI KIRCHNERISTA NI ANTI KIRCHNERISTA;DANIEL SCIOLI;SEC. COMP-TERC. INC
358;18-29;MUJER;TERCIARIO NO UNIV. INCOMPLETO;MAURICIO MACRI;MAURICIO MACRI;DANIEL SCIOLI;DESAPRUEBA;EMPEORÓ;NO SABE;MANTENER ALGUNAS Y CAMBIAR OTRAS;MAURICIO MACRI;EDUCACION, ASISTENCIA SOCIAL, SALUD;MAURICIO MACRI;NO SABE;NI DE IZQUIERDA NI DE DERECHA;NI PERONISTA NI ANTI PERONISTA;NI KIRCHNERISTA NI ANTI KIRCHNERISTA;MARGARITA STOLBIZER;SEC. COMP-TERC. INC
359;50-65;MUJER;PRIMARIO COMPLETO;DANIEL SCIOLI;DANIEL SCIOLI;MAURICIO MACRI;APRUEBA;EMPEORÓ;SE MANTUVO IGUAL / NO CAMBIO;MANTENER ALGUNAS Y CAMBIAR OTRAS;MAURICIO MACRI;SEGURIDAD;DANIEL SCIOLI;NO SABE;NO SABE;NI PERONISTA NI ANTI PERONISTA;NI KIRCHNERISTA NI ANTI KIRCHNERISTA;DANIEL SCIOLI;P. COMPLETA
360;18-29;VARON;UNIVERSITARIO INCOMPLETO O COMPLETO;MAURICIO MACRI;MAURICIO MACRI;DANIEL SCIOLI;DESAPRUEBA;EMPEORÓ;EMPEORÓ;CAMBIAR TODAS;MAURICIO MACRI;ECONOMIA;MAURICIO MACRI;BASTANTE;MAS DE DERECHA QUE DE IZQUIERDA;NI PERONISTA NI ANTI PERONISTA;ANTI KIRCHNERISTA;SERGIO MASSA;TERC/UNIV. COMPLETO
361;>65;MUJER;TERCIARIO NO UNIV. INCOMPLETO;DANIEL SCIOLI;DANIEL SCIOLI;MAURICIO MACRI;APRUEBA;SE MANTUVO IGUAL / NO CAMBIO;SE MANTUVO IGUAL / NO CAMBIO;MANTENER ALGUNAS Y CAMBIAR OTRAS;DANIEL SCIOLI;EDUCACION, ASISTENCIA SOCIAL, SALUD;DANIEL SCIOLI;POCA;MAS IZQUIERDA QUE DERECHA;NI PERONISTA NI ANTI PERONISTA;NI KIRCHNERISTA NI ANTI KIRCHNERISTA;DANIEL SCIOLI;SEC. COMP-TERC. INC
362;50-65;MUJER;SECUNDARIO INCOMPLETO O COMPLETO;MAURICIO MACRI;MAURICIO MACRI;DANIEL SCIOLI;DESAPRUEBA;EMPEORÓ;EMPEORÓ;CAMBIAR TODAS;MAURICIO MACRI;EDUCACION, ASISTENCIA SOCIAL, SALUD;NO SABE;BASTANTE;NI DE IZQUIERDA NI DE DERECHA;NI PERONISTA NI ANTI PERONISTA;NI KIRCHNERISTA NI ANTI KIRCHNERISTA;MAURICIO MACRI;SEC. COMP-TERC. INC
363;50-65;VARON;UNIVERSITARIO INCOMPLETO O COMPLETO;DANIEL SCIOLI;DANIEL SCIOLI;MAURICIO MACRI;APRUEBA;SE MANTUVO IGUAL / NO CAMBIO;SE MANTUVO IGUAL / NO CAMBIO;MANTENER POLITICAS ACUTUALES;DANIEL SCIOLI;EDUCACION, ASISTENCIA SOCIAL, SALUD;DANIEL SCIOLI;BASTANTE;MAS IZQUIERDA QUE DERECHA;NI PERONISTA NI ANTI PERONISTA;KIRCHNERISTA;DANIEL SCIOLI;TERC/UNIV. COMPLETO
364;30-49;VARON;SECUNDARIO INCOMPLETO O COMPLETO;DANIEL SCIOLI;DANIEL SCIOLI;SERGIO MASSA;APRUEBA;SE MANTUVO IGUAL / NO CAMBIO;MEJORÓ;MANTENER POLITICAS ACUTUALES;DANIEL SCIOLI;EDUCACION, ASISTENCIA SOCIAL, SALUD;DANIEL SCIOLI;POCA;MAS IZQUIERDA QUE DERECHA;NI PERONISTA NI ANTI PERONISTA;KIRCHNERISTA;SERGIO MASSA;SEC. COMP-TERC. INC
365;>65;VARON;SECUNDARIO INCOMPLETO O COMPLETO;SERGIO MASSA;SERGIO MASSA;MAURICIO MACRI;DESAPRUEBA;SE MANTUVO IGUAL / NO CAMBIO;SE MANTUVO IGUAL / NO CAMBIO;MANTENER ALGUNAS Y CAMBIAR OTRAS;SERGIO MASSA;SEGURIDAD;SERGIO MASSA;POCA;NI DE IZQUIERDA NI DE DERECHA;NI PERONISTA NI ANTI PERONISTA;ANTI KIRCHNERISTA;SERGIO MASSA;SEC. COMP-TERC. INC
366;30-49;VARON;TERCIARIO NO UNIV. INCOMPLETO;DANIEL SCIOLI;DANIEL SCIOLI;MAURICIO MACRI;APRUEBA;MEJORÓ;SE MANTUVO IGUAL / NO CAMBIO;MANTENER POLITICAS ACUTUALES;DANIEL SCIOLI;EDUCACION, ASISTENCIA SOCIAL, SALUD;DANIEL SCIOLI;BASTANTE;MAS IZQUIERDA QUE DERECHA;PERONISTA;KIRCHNERISTA;DANIEL SCIOLI;SEC. COMP-TERC. INC
367;50-65;VARON;PRIMARIO COMPLETO;DANIEL SCIOLI;DANIEL SCIOLI;SERGIO MASSA;APRUEBA;MEJORÓ;MEJORÓ;MANTENER POLITICAS ACUTUALES;DANIEL SCIOLI;SEGURIDAD;DANIEL SCIOLI;BASTANTE;NI DE IZQUIERDA NI DE DERECHA;PERONISTA;KIRCHNERISTA;DANIEL SCIOLI;P. COMPLETA
368;50-65;VARON;TERCIARIO NO UNIV. INCOMPLETO;MAURICIO MACRI;MAURICIO MACRI;NO SABE;NO SABE;SE MANTUVO IGUAL / NO CAMBIO;EMPEORÓ;NO SABE;MAURICIO MACRI;SEGURIDAD;MAURICIO MACRI;NO SABE;NO SABE;NO SABE;NI KIRCHNERISTA NI ANTI KIRCHNERISTA;BLANCO / NO VOTO;SEC. COMP-TERC. INC
369;30-49;MUJER;TERCIARIO NO UNIV. INCOMPLETO;MARGARITA STOLBIZER;SERGIO MASSA;DANIEL SCIOLI;DESAPRUEBA;EMPEORÓ;EMPEORÓ;MANTENER ALGUNAS Y CAMBIAR OTRAS;SERGIO MASSA;ECONOMIA;SERGIO MASSA;BASTANTE;NI DE IZQUIERDA NI DE DERECHA;NI PERONISTA NI ANTI PERONISTA;NI KIRCHNERISTA NI ANTI KIRCHNERISTA;SERGIO MASSA;SEC. COMP-TERC. INC
370;>65;MUJER;SECUNDARIO INCOMPLETO O COMPLETO;DANIEL SCIOLI;DANIEL SCIOLI;MAURICIO MACRI;APRUEBA;MEJORÓ;MEJORÓ;MANTENER POLITICAS ACUTUALES;DANIEL SCIOLI;SEGURIDAD;DANIEL SCIOLI;NINGUNA;MAS IZQUIERDA QUE DERECHA;PERONISTA;NI KIRCHNERISTA NI ANTI KIRCHNERISTA;DANIEL SCIOLI;SEC. COMP-TERC. INC
371;50-65;MUJER;PRIMARIO COMPLETO;DANIEL SCIOLI;DANIEL SCIOLI;MAURICIO MACRI;APRUEBA;MEJORÓ;MEJORÓ;MANTENER POLITICAS ACUTUALES;DANIEL SCIOLI;EMPLEO;DANIEL SCIOLI;BASTANTE;NO SABE;PERONISTA;KIRCHNERISTA;DANIEL SCIOLI;P. COMPLETA
372;50-65;MUJER;SECUNDARIO INCOMPLETO O COMPLETO;DANIEL SCIOLI;DANIEL SCIOLI;MAURICIO MACRI;APRUEBA;SE MANTUVO IGUAL / NO CAMBIO;SE MANTUVO IGUAL / NO CAMBIO;MANTENER ALGUNAS Y CAMBIAR OTRAS;NO SABE;SEGURIDAD;DANIEL SCIOLI;NINGUNA;TOTALMENTE DE IZQUIERDA;NI PERONISTA NI ANTI PERONISTA;NI KIRCHNERISTA NI ANTI KIRCHNERISTA;DANIEL SCIOLI;SEC. COMP-TERC. INC
373;30-49;MUJER;SECUNDARIO INCOMPLETO O COMPLETO;DANIEL SCIOLI;DANIEL SCIOLI;MAURICIO MACRI;APRUEBA;SE MANTUVO IGUAL / NO CAMBIO;SE MANTUVO IGUAL / NO CAMBIO;MANTENER POLITICAS ACUTUALES;DANIEL SCIOLI;EDUCACION, ASISTENCIA SOCIAL, SALUD;DANIEL SCIOLI; ;NO SABE;PERONISTA;KIRCHNERISTA;DANIEL SCIOLI;SEC. COMP-TERC. INC
